"Year","country_name","elo_score","num_matches","goals_for","goals_against"
"2021","Brazil",2136,1002,2176,904
"2021","Belgium",2111,804,1446,1291
"2021","France",2092,864,1537,1216
"2021","Spain",2050,710,1425,641
"2021","Portugal",2039,626,1058,724
"2021","Italy",1998,831,1446,820
"2021","Netherlands",1995,830,1710,1068
"2021","Argentina",1991,1032,1940,1090
"2021","England",1962,1070,2504,1049
"2021","Germany",1956,970,2175,1145
"2021","Uruguay",1954,945,1509,1181
"2021","Mexico",1931,926,1678,967
"2021","Denmark",1927,835,1528,1150
"2021","Colombia",1896,582,735,692
"2021","Switzerland",1871,816,1195,1377
"2021","Croatia",1860,331,577,339
"2021","Ukraine",1833,272,375,273
"2021","Wales",1829,671,836,1097
"2021","Ecuador",1826,530,649,851
"2021","Sweden",1821,1057,2121,1397
"2021","Poland",1813,854,1452,1151
"2021","Chile",1813,788,1127,1135
"2021","Venezuela",1801,419,456,791
"2021","Peru",1793,646,804,923
"2021","Serbia",1788,797,1516,1101
"2021","Austria",1786,798,1430,1247
"2021","Korea Republic",1772,976,1763,892
"2021","Paraguay",1769,730,953,1046
"2021","Norway",1763,828,1242,1383
"2021","Iran",1763,611,1144,480
"2021","Czechia",1761,814,1503,1013
"2021","Senegal",1758,608,806,594
"2021","Turkey",1753,595,804,852
"2021","Algeria",1751,600,869,628
"2021","United States",1746,728,1066,978
"2021","Hungary",1745,973,2000,1452
"2021","Japan",1744,746,1295,890
"2021","Russia",1743,732,1292,727
"2021","Australia",1712,562,1152,632
"2021","Finland",1709,763,903,1609
"2021","Morocco",1683,639,925,558
"2021","Nigeria",1670,639,954,656
"2021","Romania",1666,735,1204,940
"2021","Slovakia",1664,305,436,390
"2021","Scotland",1660,793,1366,974
"2021","Ireland",1658,681,901,1090
"2021","Qatar",1639,595,852,687
"2021","Bosnia and Herzegovina",1634,225,330,303
"2021","Iceland",1633,461,548,774
"2021","Slovenia",1628,256,313,308
"2021","Greece",1627,591,730,830
"2021","Iraq",1626,679,1095,628
"2021","Costa Rica",1623,708,1249,814
"2021","Ivory Coast",1619,606,975,617
"2021","Tunisia",1618,678,960,758
"2021","Honduras",1610,594,879,757
"2021","Cameroon",1607,592,859,653
"2021","Ghana",1606,697,1134,716
"2021","Egypt",1605,779,1371,832
"2021","Canada",1600,406,482,540
"2021","Israel",1592,470,715,665
"2021","Northern Ireland",1586,559,580,862
"2021","Jamaica",1584,636,851,840
"2021","Bolivia",1583,471,490,930
"2021","Mali",1577,544,717,655
"2021","North Macedonia",1569,245,284,328
"2021","Bahrain",1562,550,664,703
"2021","Haiti",1557,507,825,693
"2021","Albania",1556,347,318,539
"2021","Saudi Arabia",1554,725,1153,787
"2021","Burkina Faso",1553,410,497,571
"2021","Uzbekistan",1550,298,514,348
"2021","Panama",1535,508,598,803
"2021","Montenegro",1531,112,135,142
"2021","Armenia",1523,227,228,413
"2021","South Africa",1517,438,599,467
"2021","Georgia",1507,259,314,358
"2021","Bulgaria",1505,713,1004,1053
"2021","Democratic Republic of Congo",1503,479,751,592
"2021","Oman",1500,504,650,698
"2021","Belarus",1496,248,288,348
"2021","Kosovo",1491,52,70,78
"2021","Jordan",1489,475,564,573
"2021","Guatemala",1487,549,773,761
"2021","New Zealand",1486,393,679,603
"2021","Syria",1485,515,754,658
"2021","Uganda",1485,659,1020,785
"2021","Benin",1481,298,311,545
"2021","El Salvador",1480,601,776,914
"2021","China",1460,673,1292,730
"2021","Northern Cyprus",1456,17,30,23
"2021","Martinique",1445,331,629,424
"2021","Zambia",1443,777,1244,802
"2021","Guinea",1438,535,767,665
"2021","Gabon",1434,403,467,482
"2021","United Arab Emirates",1427,583,811,737
"2021","Madagascar",1425,300,430,452
"2021","Kurdistan",1424,4,12,3
"2021","Zimbabwe",1422,473,656,549
"2021","Kuwait",1416,664,1065,738
"2021","Curaçao",1414,435,766,679
"2021","Vietnam",1408,452,802,691
"2021","Libya",1402,393,547,531
"2021","Palestine",1399,238,304,387
"2021","Lebanon",1394,334,408,527
"2021","Cape Verde",1390,186,187,218
"2021","Azerbaijan",1384,268,211,442
"2021","Estonia",1383,477,472,847
"2021","Congo",1380,431,633,587
"2021","North Korea",1375,402,632,420
"2021","Réunion",1370,130,224,243
"2021","Lithuania",1370,357,366,656
"2021","Luxembourg",1363,411,257,1124
"2021","Gambia",1358,241,246,349
"2021","Thailand",1357,853,1334,1305
"2021","Angola",1353,389,452,407
"2021","Kenya",1353,687,949,942
"2021","Sierra Leone",1349,284,267,394
"2021","Equatorial Guinea",1348,138,121,223
"2021","Trinidad and Tobago",1346,799,1340,1004
"2021","Mauritania",1341,236,169,449
"2021","Malawi",1336,600,720,776
"2021","Kazakhstan",1334,213,225,352
"2021","Central African Republic",1334,123,136,251
"2021","Sudan",1332,468,561,624
"2021","Liberia",1329,286,270,428
"2021","Zanzibar",1327,203,169,434
"2021","Cyprus",1326,373,336,816
"2021","Namibia",1320,244,245,354
"2021","Suriname",1314,483,883,665
"2021","Botswana",1314,295,237,384
"2021","Guinea-Bissau",1299,158,158,239
"2021","Bermuda",1297,189,297,307
"2021","Lesotho",1297,273,223,448
"2021","Togo",1296,443,481,617
"2021","Tanzania",1295,566,654,850
"2021","Mozambique",1292,339,343,440
"2021","Ethiopia",1278,412,581,616
"2021","Kyrgyzstan",1271,141,144,254
"2021","New Caledonia",1270,256,681,368
"2021","Rwanda",1270,245,258,324
"2021","Cuba",1269,456,632,632
"2021","Turkmenistan",1265,155,249,228
"2021","French Guiana",1264,160,236,284
"2021","Faroe Islands",1262,228,165,559
"2021","Latvia",1261,399,477,663
"2021","Niger",1257,234,221,415
"2021","Burundi",1253,201,224,271
"2021","Comoros",1242,88,61,155
"2021","Fiji",1230,249,582,396
"2021","Moldova",1227,243,189,402
"2021","Tajikistan",1225,159,229,256
"2021","Mayotte",1225,38,54,56
"2021","Guyana",1219,404,497,701
"2021","Malta",1215,400,248,909
"2021","Grenada",1213,257,428,448
"2021","Guadeloupe",1209,255,444,366
"2021","Nicaragua",1209,200,179,554
"2021","Yemen",1207,258,256,527
"2021","Malaysia",1201,852,1369,1252
"2021","Saint Kitts and Nevis",1199,206,367,304
"2021","Tahiti",1196,234,654,356
"2021","India",1190,527,753,893
"2021","Chad",1183,153,144,286
"2021","Dominican Republic",1183,143,211,246
"2021","Saint Vincent and the Grenadines",1179,310,482,544
"2021","Vanuatu",1174,191,360,413
"2021","Hong Kong",1170,456,737,775
"2021","Solomon Islands",1163,188,423,368
"2021","Singapore",1159,701,934,1265
"2021","Antigua and Barbuda",1158,251,366,423
"2021","Philippines",1152,324,320,895
"2021","Papua New Guinea",1152,136,318,294
"2021","Eritrea",1143,84,57,136
"2021","Belize",1139,93,96,180
"2021","Afghanistan",1136,128,126,272
"2021","Eswatini",1125,248,204,432
"2021","Indonesia",1117,710,1185,1166
"2021","Liechtenstein",1116,204,91,571
"2021","Barbados",1101,329,422,511
"2021","Gibraltar",1096,62,43,189
"2021","South Sudan",1093,42,27,81
"2021","São Tomé and Príncipe",1086,56,43,142
"2021","Myanmar",1047,486,813,787
"2021","Saint Lucia",1036,220,307,419
"2021","Andorra",1035,174,49,446
"2021","Dominica",1023,211,247,427
"2021","Mauritius",1009,306,401,500
"2021","Somaliland",1002,2,4,3
"2021","Western Sahara",996,1,0,6
"2021","Puerto Rico",974,161,147,445
"2021","Greenland",963,20,33,42
"2021","Bonaire",960,77,85,205
"2021","Maldives",947,201,253,464
"2021","Taiwan",940,306,425,716
"2021","Somalia",921,123,66,323
"2021","Cayman Islands",915,102,101,246
"2021","Seychelles",908,150,119,315
"2021","Nepal",903,241,203,569
"2021","Monaco",903,9,11,15
"2021","Bahamas",901,53,59,176
"2021","Djibouti",900,92,61,342
"2021","Aruba",893,174,250,393
"2021","Pakistan",873,255,250,566
"2021","Montserrat",861,48,45,180
"2021","Saint Martin",855,56,79,145
"2021","Bangladesh",842,269,249,497
"2021","Cambodia",837,267,300,703
"2021","San Marino",830,172,24,725
"2021","Turks and Caicos Islands",803,29,28,120
"2021","Chagos Islands",776,3,4,10
"2021","Sint Maarten",768,47,61,132
"2021","Tuvalu",739,31,39,175
"2021","Guam",733,113,139,545
"2021","Mongolia",730,75,89,221
"2021","Saint Barthélemy",715,8,18,25
"2021","US Virgin Islands",707,54,29,239
"2021","Wallis and Futuna",701,24,23,109
"2021","Macao",696,152,137,465
"2021","Vatican",692,5,1,6
"2021","Laos",689,204,209,661
"2021","Cook Islands",687,47,44,247
"2021","Samoa",679,64,86,246
"2021","Saint Pierre and Miquelon",677,7,2,78
"2021","Sri Lanka",658,242,223,637
"2021","East Timor",638,64,63,207
"2021","Tibet",630,10,8,38
"2021","Brunei",619,122,96,389
"2021","British Virgin Islands",612,105,99,330
"2021","Falkland Islands",580,3,0,21
"2021","Federated States of Micronesia",565,8,8,64
"2021","Bhutan",563,93,54,360
"2021","Anguilla",554,76,46,314
"2021","Kiribati",545,11,7,126
"2021","Tonga",529,62,70,242
"2021","Niue",496,2,0,33
"2021","Eastern Samoa",473,51,30,340
"2021","Northern Mariana Islands",409,26,31,116
"2021","Palau",403,2,3,27
