"df_teams_analytics$team","round_32","round_16","quarter","semi","final","champion"
"Croatia",1,1,0.5,0,0,0
"Germany",1,1,0.5,0,0,0
"Norway",1,0.5,0.5,0,0,0
"Brazil",1,0.5,0,0,0,0
"Colombia",1,0.5,0.5,0.5,0.5,0.5
"Paraguay",1,0,0,0,0,0
"Ecuador",1,1,0.5,0,0,0
"Iran",1,0.5,0.5,0.5,0.5,0.5
"Saudi Arabia",1,0.5,0.5,0,0,0
"Uzbekistan",1,1,1,1,0.5,0
"Senegal",1,0,0,0,0,0
"Tunisia",1,0.5,0,0,0,0
"Algeria",1,0.5,0,0,0,0
"Morocco",1,0,0,0,0,0
"Egypt",1,1,0,0,0,0
"Canada",1,1,0,0,0,0
"Panama",1,1,1,1,0.5,0
"New Zealand",1,1,0,0,0,0
"Nigeria",1,0.5,0.5,0.5,0,0
"Cameroon",1,0.5,0.5,0,0,0
"Jamaica",1,0,0,0,0,0
"France",0.5,0,0,0,0,0
"England",0.5,0,0,0,0,0
"Portugal",0.5,0,0,0,0,0
"Spain",0.5,0,0,0,0,0
"Netherlands",0.5,0,0,0,0,0
"Austria",0.5,0,0,0,0,0
"Scotland",0.5,0,0,0,0,0
"Argentina",0.5,0.5,0,0,0,0
"Japan",0.5,0.5,0.5,0,0,0
"Australia",0.5,0,0,0,0,0
"Qatar",0.5,0.5,0.5,0,0,0
"Jordan",0.5,0,0,0,0,0
"Ghana",0.5,0.5,0,0,0,0
"South Africa",0.5,0,0,0,0,0
"United States",0.5,0,0,0,0,0
"Haiti",0.5,0,0,0,0,0
"Italy",0.5,0.5,0.5,0.5,0,0
"Wales",0.5,0,0,0,0,0
"Poland",0.5,0,0,0,0,0
"Chile",0.5,0.5,0,0,0,0
"Costa Rica",0.5,0.5,0,0,0,0
"Belgium",0,0,0,0,0,0
"Switzerland",0,0,0,0,0,0
"Uruguay",0,0,0,0,0,0
"Korea Republic",0,0,0,0,0,0
"Mexico",0,0,0,0,0,0
"Denmark",0,0,0,0,0,0
