"country","score","continent","confederation"
"Belgium",1780,"Europe","UEFA"
"France",1755,"Europe","UEFA"
"England",1670,"Europe","UEFA"
"Portugal",1662,"Europe","UEFA"
"Spain",1645,"Europe","UEFA"
"Croatia",1617,"Europe","UEFA"
"Germany",1610,"Europe","UEFA"
"Netherlands",1609,"Europe","UEFA"
"Switzerland",1593,"Europe","UEFA"
"Austria",1531,"Europe","UEFA"
"Norway",1450,"Europe","UEFA"
"Scotland",1436,"Europe","UEFA"
"Brazil",1743,"South America","CONMEBOL"
"Argentina",1642,"South America","CONMEBOL"
"Uruguay",1639,"South America","CONMEBOL"
"Colombia",1601,"South America","CONMEBOL"
"Paraguay",1476,"South America","CONMEBOL"
"Ecuador",1409,"South America","CONMEBOL"
"Japan",1502,"Asia","AFC"
"Iran",1496,"Asia","AFC"
"Korea Republic",1465,"Asia","AFC"
"Australia",1457,"Asia","AFC"
"Qatar",1391,"Asia","AFC"
"Saudi Arabia",1353,"Asia","AFC"
"Uzbekistan",1283,"Asia","AFC"
"Jordan",1243,"Asia","AFC"
"Senegal",1558,"Africa","CAF"
"Tunisia",1503,"Africa","CAF"
"Algeria",1488,"Africa","CAF"
"Morocco",1481,"Africa","CAF"
"Egypt",1432,"Africa","CAF"
"Ghana",1424,"Africa","CAF"
"South Africa",1341,"Africa","CAF"
"Mexico",1632,"North America","CONCACAF"
"United States",1548,"North America","CONCACAF"
"Canada",1332,"North America","CONCACAF"
"Panama",1312,"North America","CONCACAF"
"Haiti",1285,"North America","CONCACAF"
"New Zealand",1149,"Oceania","OFC"
"Italy",1625,"Europe","UEFA"
"Denmark",1614,"Europe","UEFA"
"Wales",1562,"Europe","UEFA"
"Poland",1559,"Europe","UEFA"
"Nigeria",1474,"Africa","CAF"
"Cameroon",1427,"Africa","CAF"
"Jamaica",1437,"North America","CONCACAF"
"Chile",1567,"South America","CONMEBOL"
"Costa Rica",1427,"North America","CONCACAF"
